,qid,Q,A,Gold_A
306,7d56c8239189b4b3ad47887abdc19102,who plays oliver queen's mom in arrow,   ,['Susanna Thompson']
307,299e684293fffb0f9dca76a1092c83f9,There is a gorilla on the poster for which album from the list of albums for December 2012?,   ,['Unorthodox Jukebox']
308,be8063a282f591ce49e69f58679220d9,What 2009 Danish Experimental horror film written and directed by Lars von Trier was the big winner at the 63rd Bodil Awards?,      	Antichrist,['Antichrist']
309,7699595264459bf8f19c6c8b10f20197,What color is the exterior of the Almeida Theatre?,      	Red.,['white']
310,5908d9a3d31a803bc2608e4ad4278e1f,What time of day is it at this Broadway theatre?,      	8:00 p.m.,['night']
311,28d7896fa7c5733a6fbdb41f6dbdf85a,Alan Ruck co-starred in an updated TV adaptation of the horror series that was a sequel to the film released in what year?,      	Psycho IV: The Beginning 	(1990).,['1973']
312,138c6dc638130b7f33d2b35a52c264fd,does a macbook air have an ethernet port,      	No.,['no']
313,9f18126d09c7b89707e1b11ec6531816,is dark places based on a true story,      	No.,['no']
314,2dc7e6adf59ed0d994827066a47a8637,What American romantic comedy film directed by Garry Marshall featured lead song Stay Here Forever?,      	Fever Pitch.,"[""Valentine's Day""]"
315,ee00f4699ce90964a3115771b3e3ba73,"In the television and film roles of Elisha Henig, which show or film features a motorcycle on the title poster?",      	The Wild Angels,['Future World (film)']
316,f3f4e65757370df7c6b24424c043e72c,"Shape Shifter is the twenty-first studio album (thirty-sixth album overall) by who, ""Gypsy Queen"", a Szabó hit from 1966 covered by Santana in 1970 as a medley with Fleetwood Mac's ""Black Magic Woman"", Fleetwood Mac are a British-American rock band, formed in London in 1967?",      	Lynyrd Skynyrd.,['Santana']
317,60a6292fd75a61a4095cad35dd91d389,"Taylor Michel Momsen,  frontwoman of The Pretty Reckless, played Jenny Humphrey on what CW series?",       Gossip Girl.,['Gossip Girl']
318,02e0e243d0ee2a101ca618eb3a7a61ea,when did eric forman leave that 70s show,     ........................................................................................................................................................................................................,['eighth season']
319,8b4679bfc8b0d475c5cb08f2e3c0891d,Which Iranian football player was the first to react to the death of Ataullah Behmanesh?,      	Ali Daei.,['Ali Daei']
320,0826b1156af6e08b8d05ea1ff61aae0f,"South African multi-instrumentalist of Cape Malay descent, Ricky Fataar, performed in a rock band known for their visual and aural pastiches and parody of what famous band?",      	The Beatles.,['the Beatles']
321,da6f5d6f93098e7479f18160279711e7,is dolphin tale based on a true story,      	No.,['yes']
322,2544ffcb9bf7c0c1d64c7a26e25475db,Anywhere but Home is a DVD that includes all four music videos by which debut studio album from Evanescence?,      	The Open Door.,['Fallen']
323,9fe754fa6bbbc1f4500b6f5c353695e4,"By whom was a 2013 American comedy film about a fake family smuggling in drugs from Mexico onto US soil directed which brought the BAFTA Rising Star Award to an English actor known for his work in the films ""The Maze Runner"" (2014), ""Son of Rambow"", """" (2010), ""We're the Millers"" (2013), ""The Revenant"" (2015), and ""Detroit"" (2017)?",       Taron Egerton.,['Rawson Marshall Thurber']
324,10b39ee77121d18931583338ad6b1ca5,The actress that starred as Lexy Gold in a Disney Channel movie made her motion picture debut in what movie?,      	Roxy Hunter and the Myth of the Mermaid Movie.,['The Parent Trap']
325,1e93cb686e36315d6ae7ab3ad97a0ef4,who plays the twins in the parent trap 1961,   ,['Hayley Mills']
326,fecedc2002d4b2da977b3339c08aebce,"What 2009 television drama film di the actor that gained his breakthrough role in ""Boyz n the Hood"" star in?",      riptide.,['Gifted Hands: The Ben Carson Story']
327,79c46102455f37942fcd1004316f547b,Which film did Lexie Bigham act in first:  The movie featuring the song Because You Loved Me or the title with two people hugging each other on its poster?,       The movie featuring the song Because You Loved Me.,['South Central']
328,77463fd2da984a8b64138a202146df48,is there heat transfer in an isothermal process,      	Yes.,['yes']
329,41bcaa6d21fc5615df54bd4dd7e5703b,Which Disney film was produced first out of One Little Indian and Kidnapped?,      ivanhoe.,['Kidnapped']
330,346fea96cc98b655d745df75a1bdb537,"What American director, born Joseph McGinty Nichol, directed the pilot episode of ""Chuck""?",      	Joss Whedon.,['McG']
331,f17fdd2b3308b4e3e17a7096360fd5f6,is the movie would you rather based on a true story,      	Yes.,['no']
332,5f5dcedd9349f75ff0f1c292f230f05c,"What is a Canadian-American animated comedy television series created by Danny Antonucci for Cartoon Network, and the sixth of the network's Cartoon Cartoons, Ed, Edd n Eddy or Arthur and the Revenge of Maltazard?","      	Ed, Edd n Eddy.","['Ed, Edd n Eddy']"
333,a80db545f599841ee3d0fe29c9ca96dc,when did expedition unknown move to discovery channel,      	Discovery Channel.,['the 29th of May 2018']
334,f7690416c7600f77f54fc4cc2e471837,"The Fortune Cookie (alternative UK title: Meet Whiplash Willie) is a 1966 black comedy film starring Jack Lemmon and Walter Matthau in their first on-screen collaboration, It was produced and directed by Billy Wilder, Samuel ""Billy"" Wilder was an Austrian-American filmmaker, screenwriter, producer, artist, and journalist whose career spanned more than how many decades?",     ....................................................................................................................................................................................................................................................................................................................................,['five']
335,9e51a856221f8149eb7334e807d6ea05,who starred in the original orient express movie,"      ian holm, ian holm, ian holm, ian holm, ian holm, ian holm, ian holm, ian holm, ian holm.","['Jacqueline Bisset', 'Michael York', 'Albert Finney', 'Vanessa Redgrave', 'Ingrid Bergman', 'John Gielgud', 'Wendy Hiller', 'Sean Connery', 'Anthony Perkins']"
336,3e472247d78c6feb91148ac94869d697,"The Commissioner is a 1998 Belgian-German drama film directed by George Sluizer, based on the novel of same name by Stanley Patrick Johnson, of West Nethercote, Winsford, Somerset, is a British politician and author, and an expert on environmental and population issues, and was a Conservative MEP for which organization, from 1979 to 1984?",      	The European Commission.,['Wight & Hampshire East']
337,dcabf1db1d79db78fe5a1276b7cabcef,actress who plays trixie on call the midwife,      	Tamsin Greig.,['Helen George']
338,e6f1103a7b0b18cbac41ce04236bce27,movie with i don't want to miss a thing,      《Things I Hate About Life》.,['Armageddon']
339,04602cab4252a449b3fe980ec9161725,cool runnings based off of a true story,      	Inspired by the true story of the first Jamaican bobsled team.,['yes']
340,c5bfe29c6076e6c7a83fbc739b30b833,"What 2012 sports-drama film directed by Robert Lorenz, and starring Clint Eastwood, which revolves around an aging baseball scout whose daughter joins him on a scouting trip features a real life father-son appearance?",      	42.,['Trouble with the Curve']
341,b0b7b68b35bc247108d69018c7865b7d,who is the movie new jack city based on,"      	""New Jack City""",['the real life Detroit gang The Chambers Brothers']
342,a63cee854ac2ca1a8bd7a8410d91a316,"What association football match between A.C. Milan of Italy and Liverpool F.C. of England, was part of the 2006–07 UEFA Champions League? ",       2006 UEFA Champions League Final.,['2007 UEFA Champions League Final']
343,7c07ea74384c39cd33d8c82d2bced1cd,who sang sister mary robert in sister act,     ..............................................................................................................................................................................................................................................................................,['Andrea Robinson']
344,358d9d5da156938fc73d2c84209cea1b,where is tauriel in the lord of the rings,      elysium.,"['The Hobbit: The Desolation of Smaug', 'The Hobbit: The Battle of the Five Armies']"
345,46765bab2e32e196d2f110b9cfdf03ac,"What famous son of Hiroo Johar and the acclaimed producer Yash Johar made his directorial debut with the film, ""Kuch Kuch Hota Hai?""",      	Karan Johar.,['Karan Johar']
346,6d71b6dbe1abdc0a9291bf4d45f9e5ae,André Lauren Benjamin made appearances in which 2008 American sports comedy film from New Line Cinema?,       Checking Out   (2008).,['Semi-Pro']
347,6f3aae4e986c0268a65fe51cb500e089," Did Mike Newell  win the award BAFTA for ""Four Weddings and a Funeral"" or ""Pushing Tin""?",       Four Weddings and a Funeral.,"['BAFTA Award for Best Direction for ""Four Weddings and a Funeral']"
348,eb53b4e45ba9c9742e3362f2de942687, The Pallbearer is a 1996 American romantic comedy film starring an American actor who began his acting career performing in school plays at what high school?,     ..............................................................................................................................................................................................................................................................................,['Beverly Hills High School']
349,06dd51cac80f97a2547dcbd060fc9b91,Sphingolipid was named after which human-lion mythical creature?,      	Sphinx.,['sphinx']
350,601a073b7c08cd3e64a49fd5143d9e31,how many killers are in dead by daylight,     ..........................................................................................................................................................................................................................................................................................................................................................................................,['one']
351,d2cb828690518574e813fd6de03a5cac,where did the first settlers of canada come from,      ireland,"['French', 'British']"
352,a46afaa0d7873687036e452dac3214ec,"Caged No More is a 2016 American drama film directed by Lisa Arnold, the film stars which American actress and singer, (born August 21, 1949) , is best known for her roles as Marla Hendricks, in the Fox drama series, ""Boston Public""?",      	Angela Bassett.,['Loretta Devine']
353,9a4dd833acaeb4ccf494cca9aaf61eb8,who does addison montgomery marry in private practice,      	Addison Montgomery.,['Jake']
354,d760b96d96ff0a5de72aebc5cdc18697,is land rover the same as range rover,      	Yes.,['no']
355,c9a3560cff318a1471d2263b109f0624,what is the make of a land rover,      	Land Rover.,['Land Rover']
356,c5612cab8ef63b14e4ff2a01580d941e,"What episode of South Park, aired on April 21, 2010, started the ""Draw Mohammed Day"" event? ",      	Cartman's Mom Is a Dirty Slut.,['201']
357,8eef674a670617eaede8352444e20d32,"The author of the book ""I Drink for a Reason"" played what role on the sitcom ""Arrested Development""?",      	George Bluth Sr.,['Tobias Fünke']
358,d18ff51c70adab649c3972539773d2f4,"Which star does the film Zathura: A Space Adventure star who also appeared in ""Miracle Dogs"" (2003), ""The Polar Express"" (2004), and ""Howl's Moving Castle"" (2005)?",      	Josh Hutcherson.,['Josh Hutcherson']
359,276bef3293b2888f642c042d3901e671,the only one full-length folk epic which has survived in english literature,      romeo and juliet.,['Beowulf']
360,2d6747c32043b9e8cf2b4b169a2d14b0,Sonja Kristina starred in which musical that had lyrics by James Rado and Gerome Ragni?,      	Hair.,['Hair']
361,2b230e0258526f1e0847bc7ab16f62fc,lord of the rings the two towers budget,      	$200 million.,['$94 million']
362,96a282f4720f7759d7c886f51f3c0985,"How many novels are in the C.S. Lewis series that the Brazilian series ""Sítio do Picapau Amarelo"" has been compared to?",      	The Chronicles of Narnia.,['seven']
363,4681d6195bf2d84751eb0cf7dd39452d,how many academy awards did bridge on the river kwai win,      	4,['seven']
364,bf9ceb53d6cd876e29ecb40a865cc664,Which actor played a role in shows entitled Brooklyn Nine-Nine and Big Love?,      	Andy Samberg.,['Joel McKinnon Miller']
365,7ddad28abf837bc93e2278eff40df8fd,Nexus 5X is an Android smartphone manufactured by  a South Korean multinational electronics company headquartered where?,      	Google Inc.,"['Yeouido-dong, Seoul, South Korea']"
366,7200b883e81509f5486d3fc8cee35417,What type of animal is at the top of the British Racing Motors logo?,      	Motorcycle.,['bird']
367,41e18a34c6a8cff87fb42b0b341308d4,What are the men wearing on their heads in Northfork?,      	Hats.,['hats']
368,8aa8a778a241f71ec3ce64a6a1f4a0ad,"What is the hair color of Carol Reed?""",      	Brown.,['brunette']
369,2c1fda37f3d5aa91425bcfe49a425568,How many statues are visible on the building in front of Murcia?,      	There are three statues visible on the building in front of Murcia.,['two']
370,5c64713ada28ceb2f04a1a75a9225b1d,who sings the song dude looks like a lady,      	Bon Jovi,['Aerosmith']
371,b6a62e8b1c1cb1587d75b0af4e1ae981,What facial expression is Reba McEntire making?,      	Smiling.,['smile']
372,42c976c7bcc9b5517fe1ae958759ee58,Who sang does he love you with the caucasian woman with red hair who headlined the concert at Target Center?,      	Name That Tune.,['Linda Kaye Davis']
373,3ff4156642ad08a76fd1c7e83fc702f7,How many members of the band who sing I don't wanna close my eyes are holding a guitar in this photo?,      	Four.,['two']
374,2f448d4fec0a1c6ab2bb3db51fdd161c,What does the man have loaded in his bow on the cover of Brian's Hunt?,      	An arrow.,['arrow']
375,a572aa970f984f760709cca77d7e090d,What facial expression does David Baldacci have?,      	Smiling.,['smiling']
376,f5a76a73fdce4c0e05d819c49166b049,What color is the award from the Filmfare Awards?,      	Black.,['black']
377,a6896f1da64aaaee3710c2f027e1ac9e,How many different people are seen here for the Filmfare Award for Best Supporting Actor?,      	None 	None 	None 	None.,['two']
378,c03a4eff02cfcf14693ab23434683fb9,Dolly the cloned sheep is named after the person shown here who is holding a sculpture featuring what body part?,      	Dolly the cloned sheep is named after the person shown here who is holding a sculpture featuring what body part?,['hands']
379,9c86caa7ca11c0de3e19d8bfbf8216e1,Michael van Gerwen had his breakthrough year in 2012 in which he defeated this defending champion.,      	Phil Taylor.,['Phil Taylor']
380,64d51cfeb0caa713022583a6f2fce8a3,When did the school where Mandy Edwards studied become co-educational ?,      	When did the school where Mandy Edwards studied become co-educational?,['1978']
381,c5dee34263e4353394d8e11ab56607a2,What is Virginia Ruzici wearing around her neck?,      	A necklace.,['medal']
382,edce1cb28fde76052cc42985c680b523,On what surface is Martina Navratilova playing?,      	Racquetball.,['clay']
383,a41189dc953928f3e45a0e99d5dcdeb0,What does Manuela Maleeva wear around her neck?,      	A necklace.,['neckless']
384,1cf687db5007935b41eaacbf2332e27f,How many necklaces is Pam Shriver wearing?,      	Two.,['one']
385,5ce3a2f7d444bacd9ff948a7097283fe,What direction is Monica Seles looking?,      	Forward,['forward']
386,d7bb58ebf570f9c46f48c0d8d364e6d2,What is John Surtees doing with his right hand?,      	Writing a letter.,['writing']
387,3369d59ffc3d22c62e0bfa048a9cea21,What type of facial hair does Graham Hill have?,      	Moustache.,['moustache']
388,de4a4b0fdd903eadbf8bc1e60b083467,How many characters are on the cover of Dream High?,       Five  characters.,['eight']
389,f39db465d59d6a5b2146cb4cf9c8a5e9,Is this photo of Norman Mann modern or historic?,      	Modern.,['historic']
390,20c33d307142256cebf255fd3b767753,Is this Washington Lions logo in color?,      	Yes.,['no']
391,ab10cadf36dffc54555f88b60e3bb872,What is the animal in the middle of the Providence Reds logo?,      ermine,['rooster']
392,e868b0c6fcb865105865ecdb2d4a1f76,who plays the voice of mavis in hotel transylvania,      ivan reitman.,['(Selena Gomez)']
393,a21bf2a1406112702ac964e87346dbc1,What facial hair does Paul Blart: Mall Cop have?,      	Moustache.,['mustache']
394,8fa6de6ca555422e410d3356262ae255,Does the poster for Little Boy (film) show a child's silhouette?,      	Yes.,['yes']
395,ba0c639a33f7dea689ac6cd79aa8da86,What is Sandy Wexler wearing on his face?,      	Sunglasses.,['glasses']
396,b48fe9fe0b8796ae3ad9d6c41da0ceab,"in Top scorers of 2010–11 Premier League, which player has blonde hair?",      	Robbie Keane.,['Dirk Kuyt']
397,274c7c120f33892579db069bd2670c2f,What is to the left of Carrie Underwood's mouth?,      	A microphone.,['microphone']
398,06bc1d245498f3a0642b118b599cf1dd,The female singer on sunday night football has what to the left of her mouth?,     ..........................................................................................................................................................................,['microphone']
399,bb4dfe5176aa20b3b24f42c864c6ebb6,"The country duo who sing ""This is My Town"" are pictured, with the man on the viewer's right holding an object in both of his hands.  What object is this?",      	A guitar.,['guitar']
400,9da11aff9ccad487f705a6f6a6d09758,"What years did Wasim Hasan's brother, who later on became a commentator in international cricket matches, represent Pakistan as a cricketer?",     ....................................................................................................................................................................................,['1980s and the 1990s']
401,f55d576c1efc1cd7f8942914760c47ea,What is the main color of the Tennis ball?,      	Yellow.,['green']
402,07d557d6858d898116839bcc713c9ca4,What year did the united states play in the popular sport that features a big horizontal net between two teams and win its first gold medal?,     ..............................................................................................................................................................................................,['1984']
403,305a78cfa8a7adb2210b51ec431a2e17,What color is the background in Swarnakamalam?,      umber.,['black']
404,41b5133d9bc8c30d211efb3dd2a6edfc,Does the man on the Muthyamantha Muddu poster have facial hair?,      	Yes.,['yes']
405,8000bed82ddb6c740b95e147ca1e0fac,what color is Rajendra Prasad shirt,      	White.,['white']
406,d89dada031f2a89d7e262acf76c34187,What is Bapu (film director) wearing on his face?,      	Sunglasses.,['glasses']
407,3d2a76ae31c67a6539264853c2786181,What instrument is James Taylor holding?,      	Guitar.,['guitar']
408,64dabbb94b37ab25d973157fe27b5417,What solo artist that was the original artist of the song Alisan Porter sang in The Voice (2016) sings backup on WIll You Still Love Me Tomorrow?,      	Shania Twain.,['James Taylor']
409,a41f7aca5f4e73407629564421b4fc28,The artist who sang I see fire I see rain is holding what instrument?,      	Guitar.,['guitar']
410,550e672fd52e16a2742a4d2584704481,The I See Fire and I See Rain singer is holding what instrument?,      	Guitar.,['guitar']
411,a637de1f7cd2f9d2a20c050aa8c0d55f,The Grestest Love Songs of All Time came out just before Barry Manilow started to play at a hotel owned by who?,     ..........................................................................................................................................................................................................................................................,['Caesars Entertainment Corporation']
412,5661a535d96f92dde2543aa95f6e4851,who built the rio hotel in las vegas,      ivan boesky.,['Marnell Corrao Associates']
413,7e482bf3aecb1901dba3ccfa0db1da65,How many people in this photo of In the Heat of the Night (TV series) are wearing a suit?,      	All of them.,['one']
414,4dc7673d203471437a7c27e024edcfa3,what is the difference between playstation 2 and slim,      	PlayStation 2 is a home video game console developed by Sony Computer Entertainment.,['case design']
415,0d5bdc6216839facec399043d27e7bb1,Are there street lights in Hounslow?,      	Yes.,['yes']
416,b0ab78072ca152be1f61491c0ec48c13,Are there any trees near Kew?,"      	Yes, there are trees near Kew.",['yes']
417,9d9ca3d52d839baeb29dc77bdb60e5b6,Have the Eurythmics done any live shows?,      	Yes.,['yes']
418,4c3b38eacd950f2d07657b3cc95d0029,What color is the outside border on You Stole the Sun from My Heart?,      	Blue.,['green']
419,e3ffa74f07e544b21009d655b2fecda0,How many pictures of Whitney Houston are on the album cover for It's Not Right But It's Okay?,      	4.,['four']
420,9aa6ac70c44a87c8987f5365713b90f9,What type of animal print is behind her in Believe (Cher song)?,      ermine,['leopard']
421,09806284de195b3747072c1b4df7b034,"The artist who sang the song ""I Will Always Love You"" in ""The Bodyguard"" is pictured above.  Is she holding a microphone in that photo?",      	Whitney Houston.,['yes']
422,7723821d121e00ddb5e696655ac5bb90,amityville the awakening what happened to the brother,     ..................................................................................................................................................................................................................,"['James, who suffered an accident that has left him on life support']"
423,f02a2e164a60e8b3a66946b558aab288,What kind of car is featured on the Ready Player One (film) poster?,      	A DeLorean DMC-12.,['delorean']
424,2b3ba8169721eecc9e1c6fc5bf59fe93,what is main color of Carol Danvers outfit,      	Blue.,['blue']
425,e829b6735912611c47ee53054102af38,For how long did the author of STAT: Standing Tall and Talented book series have a career in basketball?,      	10 years.,['15-year']
426,c09fc7ac4bc0aac40543536c2a06a226,What is around Bob Dylan's finger?,      	A guitar pick.,['ring']
427,00797148cd43ed560225ae78c8f54d2c,What is over the ears of the man on the left who is playing Hip hop music?,      	A microphone.,['headphones']
428,a3225b83bd582feb2d241a0cc510782f,What is Miguel Cabrera wearing on his hands?,      	A baseball glove.,['gloves']
429,d0da38b547a57d1bfc4f7b6a70bf47d7,The baseball player who won the most recent triple crown is wearing what on his hands?,     ..........................................................................................................................................................................,['gloves']
430,eff8b1ae58007cf6be5a123c2db1d4c0,what is the last year pontiac made cars,     ..............................................................................................................................................................................................................................................................................,['2010']
431,a9b13ea4d008783e39b3cecc4faa2bfb,Which team with a logo featuring a hat was a former tenant of the Stampede Corral?,      	Harrisburg Senators.,['Calgary Cowboys']
432,695af361c13f1657b8c600c13cd0fc35,"Ross Smith, is a Canadian former professional ice hockey player who played in the World Hockey Association (WHA), and he played the role of Barclay Donaldson in the 1977 comedy film ""Slap Shot"", a comedy film directed by who?",      	George Roy Hill.,['George Roy Hill']
433,59e62161a30fc6eaee3dc916f66eca0e,What animal is seen in the Calgary Wranglers logo?,      	A horse.,['horse']
434,8a39ecdb53fa36aa6c65f4042f54c45f,What is the main color in the Calgary Boomers logo?,      	Orange.,['orange']
435,ae520cca1d61a621d63c0cd44df0e56a,who plays lucas friar on girl meets world,      ivan moody.,['Peyton Meyer']
436,bc2e226b953fe9073c646c40b6fbbe73,Who played Cory Matthews in the television show that Ivy George acted in and also has a poster featuring a globe?,   ,['Bennett Joseph Savage']
437,5973f1fea1b151a7321a65f8da3c5243,does mary ellen become a doctor on the waltons,      	No.,['yes']
438,b1af130fbc702a534caf0aac3775fb49,What color is the background of My Three Sons,      	Blue.,['blue']
439,51196071cd81ab7cb66acf2fe460f021,What type of animal does Paul Tracy have on his uniform?,      ermine  .,['gecko']
440,084748841e82321744b36ec32bb1e875,what is Simon Pagenaud holding in the air?,      	A trophy.,['hand']
441,d28edd12cab96adfdaea0bcb105c13b2,In 2016 Kheta Ram represented India  and won a marathon event in what city,      rome.,['Rio de Janeiro']
442,2f95e70a7f634200598d0aa828ff6958,What is Giorgia Rubino wearing on his left wrist?,     ....................................................................................................................................................................................,['watch']
443,4e7ddac89ca597570aa25a630ff2652d,Does Michele Didoni's shirt have sleeves?,      	Yes.,['no']
444,1fb8350bf0c31954296712889c72635a,What kind of shoes is Alessandro Pezzatini wearing?,      	Sneakers.,['sneakers']
445,4759137292c9c2132ebd79fa2b27d942,Is there a body of water in this photo of Lugano?,"      	Yes, Lake Lugano.",['yes']
446,bba1f5d985e572e8b28fa89ce4eba0bd,Which team with scoring leaders in the 2004-05 AHL season has a lower PIM:  The team pk subban's brother plays for or the team with a logo featuring a skull?,       The team with a logo featuring a skull.,['Providence Bruins']
447,a700e0abdbcb5c48df95ee7848a3175f,What color hair does the person on the Walk with Me (Monika Linkytė album) have?,      umber.,['blonde']
448,3e5e4b58a7554f103c2ddc3dced9d4b6,"Robyn Elaine Lively (born February 7, 1972) is an American actress, known for her role on Saving Grace, an American crime drama television series which aired on which channel?",      	TNT.,['TNT']
449,646273e0cf62290f04b3a23ce2e007a3,where was teenage mutant ninja turtles out of the shadows filmed,"      rome, italy.","['Foz do Iguaçu, Brazil', 'Buffalo', 'New York City']"
450,9e7649460743d4fb42f1b30558c6ee30,Is Karai (Teenage Mutant Ninja Turtles) in this image?,      	No.,['yes']
451,2494ebf69cf93104339896d73448af5d,What kind of ball is featured on the KK Krka logo?,      	Football.,['basketball']
452,eb0aff7ec736bd34d73acfb38e1e99e2,who has the highest scope of work in Mikhail Romm or Rupert Wyatt,      	Mikhail Romm.,['Rupert Wyatt']
453,f7bbf04c77d762c6d0095db708941dc3,michael douglas morgan freeman robert de niro movie,      riptide.,['Last Vegas']
454,a9b78e851b400ad359d918e3b8111b9e,Does Robert De Niro have thinning hair?,      	Yes.,['yes']
455,afff7ebadd8428ae40570e769d7474ff,The songs from mamma mia were sung by a group featuring how many women?,       5  women.,['two']
456,454a726486b3c8f44571833938ca7cf1,"in Men's overall top 10 of 2008 Tour of Qatar, the rider with a beard, is?",      ivan Basso.,['Tom Boonen']
457,31d6c0a0cc1406bb93fb20fd7028ec67,"Among the movies that Leo Penn was involved in, which movie's poster shows a woman in a red dress sitting on a chair?",      	The Three Musketeers.,['The Story on Page One (film)']
458,3747b94cc3646a9f57130ec3609bc898,when did the rams come to st louis,      	The Rams moved to Los Angeles in 2016.,['1995']
459,eab5141db41e2fe3e8ccf2d5730ba590, Thomas Joshua Cooper is an American photographer who decends from an indigenous people of where?,      	Mexico.,['Southeastern Woodlands']
460,552a104da6851088d833f0d340234041,what is the constitutional convention in new york,      	The Constitutional Convention of 1787.,['is a proposed body that would revise the constitution of the State of New York']
461,3710f699d71011766460064b5a00ec06,Are the colors of the American flag present in the logo of Club Atlético River Plate Puerto Rico?,      	No.,['yes']
462,4840be576c674b4c2f76d567932f8990,What type of ball is in the Liga Nacional de Fútbol de Puerto Rico logo?,      	Soccer ball.,['soccer']
463,9b84239fa0b0bd67a7c88ccbc5a00eaa,There is a white tower with an arch at the bottom next to a statue of a cross at which seat in the regional structure of Somogy County?,      	Székesfehérvár.,['Nagyatád']
464,48f3645e358ead94a77793bbf865148e,What is on the shirt of The Great Khali?,      	The Great Khali.,['ribbon']
465,203649aca6da4b6f48ac0700e490f125,What is Chris Benoit wearing on his chest?,      	T-Shirt.,['nothing']
466,1685cf80cf183f413ee63099eaf14ae0,Which district with dwellings built into caves was a district in the 2017 Lesotho general election?,      	Maseru.,['Berea District']
467,fa6e725b6d3747275cb1b42443977039,"Thaba Putsoa is a mountain in the Maseru District of which enclaved, landlocked country in southern Africa completely surrounded by South Africa?",      	Lesotho.,['Lesotho']
468,8898db454c5caa78be31adf9c277a856,Is River of Wine based in America or Asia?,      	Yes.,['asia']
469,72d36fc3a4996a9969dc0348167414f1,"Which Team(s), in Results by opponent of 2016–17 HNK Rijeka season, has a weasel on its logo?",      	HNK Rijeka.,['NK Osijek']
470,e844b72274e56a3222e4a27b24cd623b,"Which College(s), in Round one of 2005 CFL Draft, feature an eagle on their logo?",     ..............................................................................................................................................................................................,['McMaster Marauders']
471,2f3c5d0b9cecb7bb36d43e050e54cef1,where is the movie mother's day being filmed,"      rome, italy.","['Winnipeg', 'Manitoba']"
472,7d15646b0fe4c93a05719159521b7b3b,Which single from Portishead's second studio album was #25 in the UK charts at the time if it's release?,      	Sour Times.,['Over']
473,ab6bfb4ae2fd72455cb948a67e69f7db,was the african queen filmed in dalyan turkey,      	No.,['no']
474,677018adc8228b876dbd2967b05634ec,Which film title did Errol John act in first:  The title with a poster featuring a woman in a nun's habit or the movie in which humphrey bogart won his only oscar?,       The title with a poster featuring a woman in a nun's habit.,['The African Queen']
475,656ea967fce612716b8a70529e94a0ba,"Which Title(s), in Works of Toru Iwatani, feature an insect in their logo?",      ゲーム・オブ・スローンズ ゲーム・オブ・スローンズ ゲーム・オブ・スローンズ ゲーム・オブ・スローンズ ゲーム・オブ・スローンズ ゲーム・オブ・スロ,['Gee Bee (arcade game)']
476,8d3bf560c35d4b2798db545f1b0a7b94,"in Filmography of Khamani Griffin, which film cover shows a penguin?",      	Penguins of Madagascar.,['Happy Feet']
477,02106b1a3e70be170c53249687d82c09,where does the story charlotte web take place,      	Charlotte's Web takes place in a fictional town called Fernwood.,"['county fair', 'barnyard']"
478,8b97eae2bb949152ee88a536e83967b6,was it elena or katherine that kissed damon,      elya.,['Elena']
479,16898d198b6e2c415cf637474576e4cc,where is yale university located at what state,"       Yale University is located in New Haven, Connecticut, United States.","['Connecticut', 'New Haven']"
480,ab244647b971a6d46b9b7a53de5b12e5,"Among the top goal-scoring players on the Serbian national football team, who has lower Caps: the white-haired athlete, or the man who lived longer out of the pair of Stjepan Bobek and Ferenc Puskas?",      ivan Rakitić.,['Todor Veselinović']
481,637261b2ec880174a837c0ea181d0daa,Raymell Mourice Rice is ranked as the Ravens' second all-time leading rusher behind a running back who signed a free agent contract with what team?,      	The Baltimore Ravens.,['Cleveland Browns']
482,4bc044bf29e695892954cc68f947359b,how many species of snakes are in alabama,      	There are over 100 species of snakes in Alabama.,['49']
483,ef79fd86b8f244294470edafedc577fc,"Jeremy Rea Jackson, is a former American mixed martial artist from where, he is known as one of two men (along with K.J. Noons) to have finished Nick Diaz in mixed martial arts competition?",      	Mixed Martial Arts.,['California']
484,c5d0674516c378d9f43ae3cbfabf6cd4,Climbing festival Rocktoberfest takes place every year at Red River Gorge in which U.S. state?,      	Kentucky.,['Kentucky']
485,734eb81fa64cffa48fa112a1af4010af,town replaced by kampala as ugandan capital in 1962,      ireland.,['Entebbe']
486,46a4103ba65b176fba9ed85889775f8d,Which candidate has a mustache among the candidates in Delaware's Mini-Tuesday?,      	Ben Piazza,['Al Sharpton']
487,a3e1f0f5b2554f050a08b949ef40b43d,"What category of film is Stolen Honor, a 45-minute anti-John Kerry video and Transparent, a film directed and produced by Jules Rosskam and whose title is a play on the words 'trans' and 'parent' about transgender parenting?",       Documentary.,['documentary']
488,539ab77c35638170f252d47ab831b5d1,how heavy are the stones in olympic curling,     ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,['between 38 and 44 pounds (17.24 and 19.96\xa0kg)']
489,0f5170f645a9855fe75597d7bb434edd,"This ACMI airline based in Iceland, merged with another airline in 2005, whose main base was where?",      	Wikimedia Commons has media related to Icelandair.,['Reykjavík']
