,qid,Q,A,Gold_A,docs
320,0826b1156af6e08b8d05ea1ff61aae0f,"South African multi-instrumentalist of Cape Malay descent, Ricky Fataar, performed in a rock band known for their visual and aural pastiches and parody of what famous band?", 	The Beatles.,['the Beatles'],"['8d44e0d4eb863f7cba62938b4263d64e', '46470d8a6826e48960b0166fc33be354']"
321,da6f5d6f93098e7479f18160279711e7,is dolphin tale based on a true story, 	Dolphin Tale is based on a true story.,['yes'],['3a1deb4ffce18d177dc652a067686e96']
322,2544ffcb9bf7c0c1d64c7a26e25475db,Anywhere but Home is a DVD that includes all four music videos by which debut studio album from Evanescence?, 	Fallen.,['Fallen'],"['0f2eac764c8d04d8d13d8a999342d106', '6ae4b2f56e7900be2487d41826ac3f74']"
323,9fe754fa6bbbc1f4500b6f5c353695e4,"By whom was a 2013 American comedy film about a fake family smuggling in drugs from Mexico onto US soil directed which brought the BAFTA Rising Star Award to an English actor known for his work in the films ""The Maze Runner"" (2014), ""Son of Rambow"", """" (2010), ""We're the Millers"" (2013), ""The Revenant"" (2015), and ""Detroit"" (2017)?", 	Will Poulter.,['Rawson Marshall Thurber'],"['b9cd97a8c824313b7d7cc26ce13d2740', '7024985fb9d112af834e4501f94f6969']"
324,10b39ee77121d18931583338ad6b1ca5,The actress that starred as Lexy Gold in a Disney Channel movie made her motion picture debut in what movie?, 	The Parent Trap.,['The Parent Trap'],"['2c6567a9b623a308b134c82d808225b1', '69bf8ee46b6b18b7a22f066ce89b5542']"
325,1e93cb686e36315d6ae7ab3ad97a0ef4,who plays the twins in the parent trap 1961, 	Brian Keith and Maureen O'Hara.,['Hayley Mills'],['b2c80f1e1b4f481ae41d983183fb2c7e']
326,fecedc2002d4b2da977b3339c08aebce,"What 2009 television drama film di the actor that gained his breakthrough role in ""Boyz n the Hood"" star in?", 	Cuba Gooding Jr.,['Gifted Hands: The Ben Carson Story'],"['8a74746e36d9f958729d209814e3c247', 'fd86ca5879a2c62cb6ed7fad69e87398']"
327,79c46102455f37942fcd1004316f547b,Which film did Lexie Bigham act in first:  The movie featuring the song Because You Loved Me or the title with two people hugging each other on its poster?, 	The movie featuring the song Because You Loved Me.,['South Central'],"['5b1ce27cb3bf4e5cf48eb9cba362851b', '5e87b9b2bea1bc276227c35948388915']"
328,77463fd2da984a8b64138a202146df48,is there heat transfer in an isothermal process," 	No, there is no heat transfer in an isothermal process.",['yes'],['402fc14fd74c4ab5351b9b8b4334603b']
329,41bcaa6d21fc5615df54bd4dd7e5703b,Which Disney film was produced first out of One Little Indian and Kidnapped?, 	One Little Indian.,['Kidnapped'],"['26cb98bd50533f02495833d1c2550365', '49503ba5055854da18d1cf14c9694618']"
330,346fea96cc98b655d745df75a1bdb537,"What American director, born Joseph McGinty Nichol, directed the pilot episode of ""Chuck""?", 	McG.,['McG'],"['d8f39b2494ea8607eed708acdb4055c0', '790aa1d0329ec50b9641b149ab1a3b29']"
331,f17fdd2b3308b4e3e17a7096360fd5f6,is the movie would you rather based on a true story," 	Yes, it is based on a true story.",['no'],['18f5a3c5779f0bb179ed0cf1c2289595']
332,5f5dcedd9349f75ff0f1c292f230f05c,"What is a Canadian-American animated comedy television series created by Danny Antonucci for Cartoon Network, and the sixth of the network's Cartoon Cartoons, Ed, Edd n Eddy or Arthur and the Revenge of Maltazard?"," 	Ed, Edd n Eddy.","['Ed, Edd n Eddy']","['ab76557b82b92b25733c0608dbadb1ed', 'd33e2cce7dd1b12d64112fa32118ddab']"
333,a80db545f599841ee3d0fe29c9ca96dc,when did expedition unknown move to discovery channel," 	May 29, 2018.",['the 29th of May 2018'],['fe378145f86fe453eed25653905f052b']
334,f7690416c7600f77f54fc4cc2e471837,"The Fortune Cookie (alternative UK title: Meet Whiplash Willie) is a 1966 black comedy film starring Jack Lemmon and Walter Matthau in their first on-screen collaboration, It was produced and directed by Billy Wilder, Samuel ""Billy"" Wilder was an Austrian-American filmmaker, screenwriter, producer, artist, and journalist whose career spanned more than how many decades?", 	five.,['five'],"['5af24afc8a31ee2660c70c2abac8c74b', '2766325bdee5751d27934ab93f1566ef']"
335,9e51a856221f8149eb7334e807d6ea05,who starred in the original orient express movie, 	Albert Finney.,"['Jacqueline Bisset', 'Michael York', 'Albert Finney', 'Vanessa Redgrave', 'Ingrid Bergman', 'John Gielgud', 'Wendy Hiller', 'Sean Connery', 'Anthony Perkins']","['abd0e93dfa43979fef2181132295b572', 'abd0e93dfa43979fef2181132295b572', 'abd0e93dfa43979fef2181132295b572', 'abd0e93dfa43979fef2181132295b572', 'abd0e93dfa43979fef2181132295b572', 'abd0e93dfa43979fef2181132295b572', 'abd0e93dfa43979fef2181132295b572', 'abd0e93dfa43979fef2181132295b572', 'abd0e93dfa43979fef2181132295b572']"
336,3e472247d78c6feb91148ac94869d697,"The Commissioner is a 1998 Belgian-German drama film directed by George Sluizer, based on the novel of same name by Stanley Patrick Johnson, of West Nethercote, Winsford, Somerset, is a British politician and author, and an expert on environmental and population issues, and was a Conservative MEP for which organization, from 1979 to 1984?", 	European Commission.,['Wight & Hampshire East'],"['a84171e2c5fb4f0376e45bd1824e27da', '8235196f5aa3f130faa408666b72e0be']"
337,dcabf1db1d79db78fe5a1276b7cabcef,actress who plays trixie on call the midwife, 	Helen George.,['Helen George'],['a5be3bc76c4260bbec907970f4077c2f']
338,e6f1103a7b0b18cbac41ce04236bce27,movie with i don't want to miss a thing, 	Armageddon.,['Armageddon'],['355229f18a27376d61359b110711aebe']
339,04602cab4252a449b3fe980ec9161725,cool runnings based off of a true story, 	Yes.,['yes'],['9d89787ee26413cb3336b3b4c6654f0f']
340,c5bfe29c6076e6c7a83fbc739b30b833,"What 2012 sports-drama film directed by Robert Lorenz, and starring Clint Eastwood, which revolves around an aging baseball scout whose daughter joins him on a scouting trip features a real life father-son appearance?", 	Trouble with the Curve.,['Trouble with the Curve'],"['c02a7ba04f87a42f164dbe4ef21c0580', '2e1b34aa28e718f66bfe600045ed7387']"
341,b0b7b68b35bc247108d69018c7865b7d,who is the movie new jack city based on, 	The Chambers Brothers.,['the real life Detroit gang The Chambers Brothers'],['d232f13223c10990f9163b88e2703038']
342,a63cee854ac2ca1a8bd7a8410d91a316,"What association football match between A.C. Milan of Italy and Liverpool F.C. of England, was part of the 2006–07 UEFA Champions League? ", 	The 2007 UEFA Champions League Final.,['2007 UEFA Champions League Final'],"['297783cef6c1bc1ed5a2077b50731a7f', '75f9ae9df017c86158e1a45abc45c818']"
343,7c07ea74384c39cd33d8c82d2bced1cd,who sang sister mary robert in sister act, 	Andrea Robinson.,['Andrea Robinson'],['41bd6f8ce6c2d4d7b25d5506674a2127']
344,358d9d5da156938fc73d2c84209cea1b,where is tauriel in the lord of the rings," 	Tauriel is a fictional character from Peter Jackson's feature film adaptation of J.R.R. Tolkien's The Hobbit. The character does not appear in the original book, but was created by Peter Jackson, Philippa Boyens and Fran Walsh as an expansion of material adapted from the book, and first appears in the second and third films in that trilogy, The Hobbit","['The Hobbit: The Desolation of Smaug', 'The Hobbit: The Battle of the Five Armies']","['49195ea505a848e21def12e550717167', '49195ea505a848e21def12e550717167']"
345,46765bab2e32e196d2f110b9cfdf03ac,"What famous son of Hiroo Johar and the acclaimed producer Yash Johar made his directorial debut with the film, ""Kuch Kuch Hota Hai?""", 	Karan Johar.,['Karan Johar'],"['6c3cb3b12be8f497a05691e82ece4848', '732b05a44a4d1d1917b3c02bf59e3d5d']"
346,6d71b6dbe1abdc0a9291bf4d45f9e5ae,André Lauren Benjamin made appearances in which 2008 American sports comedy film from New Line Cinema?, 	Semi-Pro.,['Semi-Pro'],"['8d966879901d3ab936492c12a20719b6', '7087653c1137c549e6b6f769db89f46f']"
347,6f3aae4e986c0268a65fe51cb500e089," Did Mike Newell  win the award BAFTA for ""Four Weddings and a Funeral"" or ""Pushing Tin""?"," 	""Four Weddings and a Funeral""","['BAFTA Award for Best Direction for ""Four Weddings and a Funeral']","['294ed97e20a2e7e64843a0dbe97e5903', 'b033af3a41767430a6a734a42eabe3f1']"
348,eb53b4e45ba9c9742e3362f2de942687, The Pallbearer is a 1996 American romantic comedy film starring an American actor who began his acting career performing in school plays at what high school?, 	Beverly Hills High School.,['Beverly Hills High School'],"['815b1817869c4fbe3d1a5a0d33692669', '9ef35b5d7d3b7c2201bf530198ab2148']"
349,06dd51cac80f97a2547dcbd060fc9b91,Sphingolipid was named after which human-lion mythical creature?, 	Sphinx.,['sphinx'],"['5a52d3b9659f25dd74c683829cd923b3', '4c11a845351b79aa5c0abf9012f9f41f']"
350,601a073b7c08cd3e64a49fd5143d9e31,how many killers are in dead by daylight, 	4.,['one'],['b08c5867157a7e110d7d67dd62c86aa6']
351,d2cb828690518574e813fd6de03a5cac,where did the first settlers of canada come from, 	France.,"['French', 'British']","['a76311ffb78778a072a3d6ccda3ae838', 'a76311ffb78778a072a3d6ccda3ae838']"
352,a46afaa0d7873687036e452dac3214ec,"Caged No More is a 2016 American drama film directed by Lisa Arnold, the film stars which American actress and singer, (born August 21, 1949) , is best known for her roles as Marla Hendricks, in the Fox drama series, ""Boston Public""?", 	Loretta Devine.,['Loretta Devine'],"['f1df010ade3b9b06338b78f28e0345d1', 'b276f69ec25dfe59da20c99549e8ab83']"
353,9a4dd833acaeb4ccf494cca9aaf61eb8,who does addison montgomery marry in private practice, 	Jake.,['Jake'],['a9b9bbecab2dfecf57b74128d0924703']
354,d760b96d96ff0a5de72aebc5cdc18697,is land rover the same as range rover," 	Yes, they are the same.",['no'],['f0855c7f9eb7dde4303eba5ec8c700ed']
355,c9a3560cff318a1471d2263b109f0624,what is the make of a land rover, 	Land Rover.,['Land Rover'],['6677efc8d34dbc17adbe35972894687d']
356,c5612cab8ef63b14e4ff2a01580d941e,"What episode of South Park, aired on April 21, 2010, started the ""Draw Mohammed Day"" event? ", 	201.,['201'],"['9e6af41fd446f414d7e142bdc63cdb49', 'bfc020a58912c994b8aa611e0f5487ab']"
357,8eef674a670617eaede8352444e20d32,"The author of the book ""I Drink for a Reason"" played what role on the sitcom ""Arrested Development""?", 	Tobias Fünke.,['Tobias Fünke'],"['a666ca0ee0a15a5687e3720708c9c05f', '91cda866df8d103fcaa1a10e6ed09a89']"
358,d18ff51c70adab649c3972539773d2f4,"Which star does the film Zathura: A Space Adventure star who also appeared in ""Miracle Dogs"" (2003), ""The Polar Express"" (2004), and ""Howl's Moving Castle"" (2005)?", 	Joshua Hutcherson.,['Josh Hutcherson'],"['d800a849b680ca7475b1d1f7a70627d8', '9cddb7f4f3efcee92323fa8c8fce9201']"
359,276bef3293b2888f642c042d3901e671,the only one full-length folk epic which has survived in english literature, 	Beowulf.,['Beowulf'],['31d28aa9739db4c52ccad9be4343c1fb']
360,2d6747c32043b9e8cf2b4b169a2d14b0,Sonja Kristina starred in which musical that had lyrics by James Rado and Gerome Ragni?, 	Hair.,['Hair'],"['b07ec30acb2c9d2ccab77cb1a83acf81', '080015629b4d9e4713ef876c7a992529']"
361,2b230e0258526f1e0847bc7ab16f62fc,lord of the rings the two towers budget, 	$94 million.,['$94 million'],['03f5dad3e02f2b7fab36718b11a84e8a']
362,96a282f4720f7759d7c886f51f3c0985,"How many novels are in the C.S. Lewis series that the Brazilian series ""Sítio do Picapau Amarelo"" has been compared to?", 	Seven.,['seven'],"['b5114c9d558c04aa6fc3bc9b998a42ab', '3974450996b3cf1324a252c854501964']"
363,4681d6195bf2d84751eb0cf7dd39452d,how many academy awards did bridge on the river kwai win, 	7.,['seven'],['875258b23c0a852ce7cdf478b1e8030a']
364,bf9ceb53d6cd876e29ecb40a865cc664,Which actor played a role in shows entitled Brooklyn Nine-Nine and Big Love?, 	Andy Samberg.,['Joel McKinnon Miller'],"['9c4f6fadec59e4145b3102856ce9e741', '091b0cd47308196a27b6a72f598d41df']"
365,7ddad28abf837bc93e2278eff40df8fd,Nexus 5X is an Android smartphone manufactured by  a South Korean multinational electronics company headquartered where?," 	Yeouido-dong, Seoul, South Korea.","['Yeouido-dong, Seoul, South Korea']","['1d3c0aa04e5d0100b7e7acdfa7114b91', '4d927043bb9c78d08f651560a54a97e0']"
366,7200b883e81509f5486d3fc8cee35417,What type of animal is at the top of the British Racing Motors logo?, 	An eagle.,['bird'],['86506c6e4f982b730f0a14a1c7ab9b0b']
367,41e18a34c6a8cff87fb42b0b341308d4,What are the men wearing on their heads in Northfork?, 	Hats.,['hats'],['8e8a25c6143750f3269b451d39213681']
368,8aa8a778a241f71ec3ce64a6a1f4a0ad,"What is the hair color of Carol Reed?""", 	Brown.,['brunette'],['4807275d3625727d6b959efb22ad148f']
369,2c1fda37f3d5aa91425bcfe49a425568,How many statues are visible on the building in front of Murcia?, 	5,['two'],['9975f93834166e70263e5f8df581c7d2']
370,5c64713ada28ceb2f04a1a75a9225b1d,who sings the song dude looks like a lady, 	Aerosmith.,['Aerosmith'],['13c15210003cd670c5c42ea2668c2b4d']
371,b6a62e8b1c1cb1587d75b0af4e1ae981,What facial expression is Reba McEntire making?, 	Smiling.,['smile'],['0f76453a5f76e22a9fcb5909cead051d']
372,42c976c7bcc9b5517fe1ae958759ee58,Who sang does he love you with the caucasian woman with red hair who headlined the concert at Target Center?, 	Reba McEntire.,['Linda Kaye Davis'],"['6b19449c1e6e552a5da112db8914d064', '0f76453a5f76e22a9fcb5909cead051d']"
373,3ff4156642ad08a76fd1c7e83fc702f7,How many members of the band who sing I don't wanna close my eyes are holding a guitar in this photo?, 	2.,['two'],"['355229f18a27376d61359b110711aebe', '7493029fb4e7cde46873d7c1a0c5c09f']"
374,2f448d4fec0a1c6ab2bb3db51fdd161c,What does the man have loaded in his bow on the cover of Brian's Hunt?, 	arrows.,['arrow'],['3df7936a4cb65118a456b738f476ae70']
375,a572aa970f984f760709cca77d7e090d,What facial expression does David Baldacci have?, 	Smiling.,['smiling'],['79612e154d8e3cb774e116524c723889']
376,f5a76a73fdce4c0e05d819c49166b049,What color is the award from the Filmfare Awards?, 	Black,['black'],['63f61b6ed134c164e767d139059cf626']
377,a6896f1da64aaaee3710c2f027e1ac9e,How many different people are seen here for the Filmfare Award for Best Supporting Actor?, 	Two.,['two'],['66e43b987863c88295c6a3464b525681']
378,c03a4eff02cfcf14693ab23434683fb9,Dolly the cloned sheep is named after the person shown here who is holding a sculpture featuring what body part?, 	Dolly Parton.,['hands'],"['0835532566be8ddba34c0a34973aa873', '9b886772d616aa23c883526e0786afbd']"
379,9c86caa7ca11c0de3e19d8bfbf8216e1,Michael van Gerwen had his breakthrough year in 2012 in which he defeated this defending champion., 	Phil Taylor.,['Phil Taylor'],"['4664200afe69e01d785584ebcfb72510', '461c015ea10fc020f2e123e62408f893']"
380,64d51cfeb0caa713022583a6f2fce8a3,When did the school where Mandy Edwards studied become co-educational ?, 	1961.,['1978'],"['8d1f0b5035300fc8888eef1f5b89f1af', '83ff45219d6d7fcc3775e9b9d06ed8cb']"
381,c5dee34263e4353394d8e11ab56607a2,What is Virginia Ruzici wearing around her neck?, 	A medal.,['medal'],['c794d4a64dadb6c4ea02e1797af86cbe']
382,edce1cb28fde76052cc42985c680b523,On what surface is Martina Navratilova playing?, 	Tennis court.,['clay'],['10b8e48182486a3da252cc0eb6c7a80b']
383,a41189dc953928f3e45a0e99d5dcdeb0,What does Manuela Maleeva wear around her neck?, 	A necklace.,['neckless'],['85c0e667c19899e57de4593337b88120']
384,1cf687db5007935b41eaacbf2332e27f,How many necklaces is Pam Shriver wearing?, 	Two.,['one'],['1879c9f1a36102a9174c458b418c8d95']
385,5ce3a2f7d444bacd9ff948a7097283fe,What direction is Monica Seles looking?, 	Forward.,['forward'],['7d7e4f56a0a4c949be6efc927ca2759c']
386,d7bb58ebf570f9c46f48c0d8d364e6d2,What is John Surtees doing with his right hand?, 	Writing a letter.,['writing'],['69dc00bea926d95088d3829d8ba558b3']
387,3369d59ffc3d22c62e0bfa048a9cea21,What type of facial hair does Graham Hill have?, 	Moustache.,['moustache'],['dc66961601133f0b26f44d0f69bada1c']
388,de4a4b0fdd903eadbf8bc1e60b083467,How many characters are on the cover of Dream High?, 	12 characters.,['eight'],['fa8a146bc6f824a7cf62e1b62ac579fc']
389,f39db465d59d6a5b2146cb4cf9c8a5e9,Is this photo of Norman Mann modern or historic?, 	Modern,['historic'],['38060859edfbd9ea51948b9a9876a588']
390,20c33d307142256cebf255fd3b767753,Is this Washington Lions logo in color?, 	Yes.,['no'],['ecb3dc92895c729e09a77e90e75467f0']
391,ab10cadf36dffc54555f88b60e3bb872,What is the animal in the middle of the Providence Reds logo?, 	A chicken.,['rooster'],['7a536e03eb3a437d53e9504f8b8121dd']
392,e868b0c6fcb865105865ecdb2d4a1f76,who plays the voice of mavis in hotel transylvania, 	Selena Gomez.,['(Selena Gomez)'],['7113d28eee35838264e585875ea9c905']
393,a21bf2a1406112702ac964e87346dbc1,What facial hair does Paul Blart: Mall Cop have?, 	Mustache.,['mustache'],['0b94245596940d1ab44df4bf05ce6e42']
394,8fa6de6ca555422e410d3356262ae255,Does the poster for Little Boy (film) show a child's silhouette?, 	Yes.,['yes'],['86119609fb37222c24b483e560335b3d']
395,ba0c639a33f7dea689ac6cd79aa8da86,What is Sandy Wexler wearing on his face?, 	Sunglasses.,['glasses'],['88304e1569022060cbd45543b536b390']
396,b48fe9fe0b8796ae3ad9d6c41da0ceab,"in Top scorers of 2010–11 Premier League, which player has blonde hair?", 	Robin van Persie,['Dirk Kuyt'],['44a1a5ec1ea32a7f70f4d4d99ccb46f7']
397,274c7c120f33892579db069bd2670c2f,What is to the left of Carrie Underwood's mouth?, 	A microphone.,['microphone'],['c9c97cbc77353164913fcf9082ec76d9']
398,06bc1d245498f3a0642b118b599cf1dd,The female singer on sunday night football has what to the left of her mouth?,...................................................................................................................................................................................................................................................................................................................................................................................................................,['microphone'],"['0a89f965fee003cf40c716e27bb0c1a9', 'c9c97cbc77353164913fcf9082ec76d9']"
399,bb4dfe5176aa20b3b24f42c864c6ebb6,"The country duo who sing ""This is My Town"" are pictured, with the man on the viewer's right holding an object in both of his hands.  What object is this?", 	A guitar.,['guitar'],"['1aaac5d98910ad2c46bc8d554e4e08ed', '22a1c1e6b766914cbefd61fbac94230d']"
400,9da11aff9ccad487f705a6f6a6d09758,"What years did Wasim Hasan's brother, who later on became a commentator in international cricket matches, represent Pakistan as a cricketer?", 	1973 to 1985.,['1980s and the 1990s'],"['a8655f3e59bccbd922d6580bec3f0d42', '92c3ec953c53eda545f2b860a3b5f83b']"
401,f55d576c1efc1cd7f8942914760c47ea,What is the main color of the Tennis ball?, 	Blue,['green'],['fbbe88820de6a54597b1f278ff75316d']
402,07d557d6858d898116839bcc713c9ca4,What year did the united states play in the popular sport that features a big horizontal net between two teams and win its first gold medal?, 	1984.,['1984'],"['c4e4fea85dc9e07e9b59505a5317dc7a', '35ef9efc5909315924033baf7ce80413']"
403,305a78cfa8a7adb2210b51ec431a2e17,What color is the background in Swarnakamalam?, 	Black,['black'],['211bd3bce51045928e5491484e7f50b3']
404,41b5133d9bc8c30d211efb3dd2a6edfc,Does the man on the Muthyamantha Muddu poster have facial hair?, 	Yes.,['yes'],['de3de9984625c39dcd31823326d184e7']
405,8000bed82ddb6c740b95e147ca1e0fac,what color is Rajendra Prasad shirt, 	White.,['white'],['05ce43caeccf4bfb1e09c4621396ec38']
406,d89dada031f2a89d7e262acf76c34187,What is Bapu (film director) wearing on his face?, 	Turban.,['glasses'],['95050cd6ab58835c141913a36865bc91']
407,3d2a76ae31c67a6539264853c2786181,What instrument is James Taylor holding?, 	Guitar.,['guitar'],['eccebef37f68d94084d584ea2e963754']
408,64dabbb94b37ab25d973157fe27b5417,What solo artist that was the original artist of the song Alisan Porter sang in The Voice (2016) sings backup on WIll You Still Love Me Tomorrow?, 	Joni Mitchell.,['James Taylor'],"['2e2d2b780c9e4c412a4e29636cec051c', '2e2d2b780c9e4c412a4e29636cec051c', '4bf57cfbb08dbf5b5a2c522758d98b57', '545d553048cb91e645e8b22dacf590f3', 'f7d967985e387cf8d91be598090e08ab', '88df9a5b0f790909659ce510dec0dd2b', 'eccebef37f68d94084d584ea2e963754']"
409,a41f7aca5f4e73407629564421b4fc28,The artist who sang I see fire I see rain is holding what instrument?, 	Guitar.,['guitar'],"['3f3c4d739bfa2a71f6298fc9df3cbac1', 'eccebef37f68d94084d584ea2e963754']"
410,550e672fd52e16a2742a4d2584704481,The I See Fire and I See Rain singer is holding what instrument?, 	Guitar.,['guitar'],"['3f3c4d739bfa2a71f6298fc9df3cbac1', 'eccebef37f68d94084d584ea2e963754']"
411,a637de1f7cd2f9d2a20c050aa8c0d55f,The Grestest Love Songs of All Time came out just before Barry Manilow started to play at a hotel owned by who?, 	Caesars Entertainment Corporation.,['Caesars Entertainment Corporation'],"['9ac5c94ac158287b35ec3a6d3e156ee2', 'cff60d0a7ec58a6d19fba6d6ffd41888']"
412,5661a535d96f92dde2543aa95f6e4851,who built the rio hotel in las vegas, 	Harrah's Entertainment.,['Marnell Corrao Associates'],['fe57dbf184bc6fb073b73141d7532059']
413,7e482bf3aecb1901dba3ccfa0db1da65,How many people in this photo of In the Heat of the Night (TV series) are wearing a suit?, 	5,['one'],['2054ae4dca7a9b8c5df750eea462a518']
414,4dc7673d203471437a7c27e024edcfa3,what is the difference between playstation 2 and slim," 	The PS2 is primarily differentiated between models with the original ""fat"" case design, and ""slimline"" models introduced at the end of 2004. In 2010 a television incorporating a PS2 was introduced.",['case design'],['5faf9a6b75e9c5bb9c2f7de22a60c8c4']
415,0d5bdc6216839facec399043d27e7bb1,Are there street lights in Hounslow?," 	No, there are no street lights in Hounslow.",['yes'],['b80eec4edd73e2d7b7f28b6abbdaae64']
416,b0ab78072ca152be1f61491c0ec48c13,Are there any trees near Kew?," 	No, there are no trees near Kew.",['yes'],['476978f3763dd2ae538420e2653f350a']
417,9d9ca3d52d839baeb29dc77bdb60e5b6,Have the Eurythmics done any live shows?, 	No.,['yes'],['1b56673db55e0e521a313ada3957b7c0']
418,4c3b38eacd950f2d07657b3cc95d0029,What color is the outside border on You Stole the Sun from My Heart?, 	Blue,['green'],['549e683903bbc09d3d0a774598d076b1']
419,e3ffa74f07e544b21009d655b2fecda0,How many pictures of Whitney Houston are on the album cover for It's Not Right But It's Okay?, 	2,['four'],['26b572bdc5c36490baab3b178dae5d7d']
420,9aa6ac70c44a87c8987f5365713b90f9,What type of animal print is behind her in Believe (Cher song)?, 	Leopard print.,['leopard'],['9d3412dae223905f3a6fa099a9e0504e']
421,09806284de195b3747072c1b4df7b034,"The artist who sang the song ""I Will Always Love You"" in ""The Bodyguard"" is pictured above.  Is she holding a microphone in that photo?", 	Yes.,['yes'],"['a7d40553d188649214d3f774f2ce118d', '7ec7afd2bed7b7941e5b5a3280e87ae7']"
422,7723821d121e00ddb5e696655ac5bb90,amityville the awakening what happened to the brother,........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................ ,"['James, who suffered an accident that has left him on life support']",['b5616c6b89196c39dbda3bb6a3d3b394']
423,f02a2e164a60e8b3a66946b558aab288,What kind of car is featured on the Ready Player One (film) poster?, 	A sports car.,['delorean'],['3f80e0e4fa638730ed5e6f1f02f8dcaf']
424,2b3ba8169721eecc9e1c6fc5bf59fe93,what is main color of Carol Danvers outfit, 	Blue,['blue'],['4ac9a1e0c37c639aa7ce76ad7dc49872']
425,e829b6735912611c47ee53054102af38,For how long did the author of STAT: Standing Tall and Talented book series have a career in basketball?, 	15 years.,['15-year'],"['ea345d5bdace4ff58fd8d13173f0f09d', '033d1b63dd2a220ba939033cdc08789c']"
426,c09fc7ac4bc0aac40543536c2a06a226,What is around Bob Dylan's finger?, 	A guitar pick.,['ring'],['f5cbf925ab8a92bed75b9ad81fffe656']
427,00797148cd43ed560225ae78c8f54d2c,What is over the ears of the man on the left who is playing Hip hop music?, 	Headphones.,['headphones'],['2a5021901574f113f445c018cc3b13a5']
428,a3225b83bd582feb2d241a0cc510782f,What is Miguel Cabrera wearing on his hands?, 	Sunglasses.,['gloves'],['ff76c187e094be46f175e5c731509d9a']
429,d0da38b547a57d1bfc4f7b6a70bf47d7,The baseball player who won the most recent triple crown is wearing what on his hands?, umpire.,['gloves'],"['77c5892d3f5243d4afa1dbbcb3102de8', 'ff76c187e094be46f175e5c731509d9a']"
430,eff8b1ae58007cf6be5a123c2db1d4c0,what is the last year pontiac made cars, 	2009.,['2010'],['bedc407ed3a06510dfcf76682ac45353']
431,a9b13ea4d008783e39b3cecc4faa2bfb,Which team with a logo featuring a hat was a former tenant of the Stampede Corral?, 	The Edmonton Oilers.,['Calgary Cowboys'],['6e25a59c4187a0e595ea83ee5a95763f']
432,695af361c13f1657b8c600c13cd0fc35,"Ross Smith, is a Canadian former professional ice hockey player who played in the World Hockey Association (WHA), and he played the role of Barclay Donaldson in the 1977 comedy film ""Slap Shot"", a comedy film directed by who?", 	George Roy Hill.,['George Roy Hill'],"['5e64aa3479d826002925b9083d969105', '9e8dd7c71ae8c4f0504bbac60ad3d4b0']"
433,59e62161a30fc6eaee3dc916f66eca0e,What animal is seen in the Calgary Wranglers logo?, 	A horse.,['horse'],['862fffb2418902b42e48f82bfc0bc455']
434,8a39ecdb53fa36aa6c65f4042f54c45f,What is the main color in the Calgary Boomers logo?, 	Orange.,['orange'],['7bf7ea3f38c065ae1d8487ae6417b156']
435,ae520cca1d61a621d63c0cd44df0e56a,who plays lucas friar on girl meets world, 	Peyton Meyer.,['Peyton Meyer'],['f9e2a41b944ff61f47138ccfe48713c8']
436,bc2e226b953fe9073c646c40b6fbbe73,Who played Cory Matthews in the television show that Ivy George acted in and also has a poster featuring a globe?, 	Bennett Joseph Savage.,['Bennett Joseph Savage'],"['e8b6c185f36df8593969fa82d1ea9f61', 'acd13f5b75b01139ff728ec2b19537fc']"
437,5973f1fea1b151a7321a65f8da3c5243,does mary ellen become a doctor on the waltons," 	No, Mary Ellen does not become a doctor on the waltons.",['yes'],['0da736515e6acaed3b4458ee74179103']
438,b1af130fbc702a534caf0aac3775fb49,What color is the background of My Three Sons, 	Blue,['blue'],['2e74be131b014c9b79ae8f3bceaf9ed4']
439,51196071cd81ab7cb66acf2fe460f021,What type of animal does Paul Tracy have on his uniform?, 	A frog.,['gecko'],['bfa27056f997f730d8050705efe52052']
440,084748841e82321744b36ec32bb1e875,what is Simon Pagenaud holding in the air?, 	A trophy.,['hand'],['be6e7084a8f407ae043980031fe5de6a']
441,d28edd12cab96adfdaea0bcb105c13b2,In 2016 Kheta Ram represented India  and won a marathon event in what city, 	Rio de Janeiro.,['Rio de Janeiro'],"['529b4b959da8e28a32707e6f3c29ce91', 'b9615f920f62c7b0d570528654125aca']"
442,2f95e70a7f634200598d0aa828ff6958,What is Giorgia Rubino wearing on his left wrist?, 	A watch.,['watch'],['842c909551f5c741acfe0795fdef1f19']
443,4e7ddac89ca597570aa25a630ff2652d,Does Michele Didoni's shirt have sleeves?, 	No.,['no'],['15cc00cd0948a05254e1ce56342a1e81']
444,1fb8350bf0c31954296712889c72635a,What kind of shoes is Alessandro Pezzatini wearing?, 	Running shoes.,['sneakers'],['e8fa5ddc27d46da7b31154d494bfe3c6']
445,4759137292c9c2132ebd79fa2b27d942,Is there a body of water in this photo of Lugano?, 	Lake Lugano.,['yes'],['ce74c5c019b989b197c8c15bd388c629']
446,bba1f5d985e572e8b28fa89ce4eba0bd,Which team with scoring leaders in the 2004-05 AHL season has a lower PIM:  The team pk subban's brother plays for or the team with a logo featuring a skull?, 	The team with a logo featuring a skull.,['Providence Bruins'],"['484ac09b6e801ac001b8513b65b74ee0', '484ac09b6e801ac001b8513b65b74ee0', '302674ce5993bf39e19984b874882b77']"
